fold,train_start,train_end,val_start,val_end
1,2024-01-02T00:00:00,2024-01-15T23:59:59,2024-01-16T00:00:00,2024-01-22T23:59:59
2,2024-01-02T00:00:00,2024-01-22T23:59:59,2024-01-23T00:00:00,2024-01-29T23:59:59
3,2024-01-02T00:00:00,2024-01-29T23:59:59,2024-01-30T00:00:00,2024-02-05T23:59:59
4,2024-01-02T00:00:00,2024-02-05T23:59:59,2024-02-06T00:00:00,2024-02-12T23:59:59
5,2024-01-02T00:00:00,2024-02-12T23:59:59,2024-02-13T00:00:00,2024-02-19T23:59:59
6,2024-01-02T00:00:00,2024-02-19T23:59:59,2024-02-20T00:00:00,2024-02-26T23:59:59
7,2024-01-02T00:00:00,2024-02-26T23:59:59,2024-02-27T00:00:00,2024-03-04T23:59:59
8,2024-01-02T00:00:00,2024-03-04T23:59:59,2024-03-05T00:00:00,2024-03-11T23:59:59
9,2024-01-02T00:00:00,2024-03-11T23:59:59,2024-03-12T00:00:00,2024-03-18T23:59:59
10,2024-01-02T00:00:00,2024-03-18T23:59:59,2024-03-19T00:00:00,2024-03-25T23:59:59
11,2024-01-02T00:00:00,2024-03-25T23:59:59,2024-03-26T00:00:00,2024-04-01T23:59:59
