fold,model,params,mae,rmse,r2
1,ridge,"{""alpha"": 0.001}",0.0011891584973000376,0.0020995776076445675,-0.008336626386652224
1,ridge,"{""alpha"": 0.01}",0.0011891584876563503,0.0020995776001966,-0.00833661923277651
1,ridge,"{""alpha"": 0.1}",0.0011891583912209925,0.002099577525719022,-0.008336547696037755
1,ridge,"{""alpha"": 1.0}",0.0011891574270188523,0.002099576781153109,-0.008335832530362408
1,ridge,"{""alpha"": 10.0}",0.0011891478074240126,0.0020995693563789003,-0.008328700947738188
2,ridge,"{""alpha"": 0.001}",0.0011594392903223818,0.0019941924439029796,-0.009586527408436352
2,ridge,"{""alpha"": 0.01}",0.0011594392880232868,0.0019941924412321655,-0.009586524704165544
2,ridge,"{""alpha"": 0.1}",0.0011594392650324723,0.001994192414524239,-0.00958649766167774
2,ridge,"{""alpha"": 1.0}",0.0011594390351376274,0.001994192147466504,-0.009586227258618019
2,ridge,"{""alpha"": 10.0}",0.0011594367388467386,0.0019941894790369203,-0.00958352540467966
3,ridge,"{""alpha"": 0.001}",0.0014756363926889773,0.002825301161389874,-0.002423924322477511
3,ridge,"{""alpha"": 0.01}",0.0014756363915650623,0.002825301160404232,-0.0024239236230612082
3,ridge,"{""alpha"": 0.1}",0.0014756363803259806,0.0028253011505478746,-0.0024239166289405922
3,ridge,"{""alpha"": 1.0}",0.0014756362679420993,0.002825301051990486,-0.0024238466921255863
3,ridge,"{""alpha"": 10.0}",0.00147563514574682,0.0028253000670346,-0.002423147762646849
4,ridge,"{""alpha"": 0.001}",0.0012113321267879908,0.0022659821450437163,-0.004336100580875524
4,ridge,"{""alpha"": 0.01}",0.0012113321261669244,0.002265982144434968,-0.004336100041252733
4,ridge,"{""alpha"": 0.1}",0.0012113321199562705,0.0022659821383475033,-0.004336094645039923
4,ridge,"{""alpha"": 1.0}",0.001211332057850973,0.0022659820774748826,-0.004336040684712383
4,ridge,"{""alpha"": 10.0}",0.0012113314369219782,0.0022659814689511325,-0.004335501260982477
5,ridge,"{""alpha"": 0.001}",0.0013535821615431902,0.0023690316148438054,-0.006807150285343955
5,ridge,"{""alpha"": 0.01}",0.0013535821607172,0.002369031613727921,-0.006807149336871987
5,ridge,"{""alpha"": 0.1}",0.0013535821524573162,0.002369031602569115,-0.006807139852181399
5,ridge,"{""alpha"": 1.0}",0.0013535820698602362,0.002369031490984598,-0.006807045008292212
5,ridge,"{""alpha"": 10.0}",0.0013535812440651895,0.002369030375493741,-0.00680609687079925
6,ridge,"{""alpha"": 0.001}",0.0012389563702663814,0.002912999076817686,-0.0007819343529276157
6,ridge,"{""alpha"": 0.01}",0.0012389563701669787,0.002912999076745787,-0.0007819343035246895
6,ridge,"{""alpha"": 0.1}",0.0012389563691729407,0.0029129990760267846,-0.000781933809487656
6,ridge,"{""alpha"": 1.0}",0.0012389563592311928,0.002912999068835949,-0.000781928868560211
6,ridge,"{""alpha"": 10.0}",0.0012389562596772721,0.0029129989968463134,-0.0007818794034395449
7,ridge,"{""alpha"": 0.001}",0.0011779063598188501,0.0019695148677342372,-0.0014095677949284013
7,ridge,"{""alpha"": 0.01}",0.0011779063595585974,0.0019695148675111314,-0.0014095675680498854
7,ridge,"{""alpha"": 0.1}",0.0011779063569560863,0.001969514865280093,-0.0014095652992851537
7,ridge,"{""alpha"": 1.0}",0.0011779063309326776,0.001969514842971585,-0.00140954261354298
7,ridge,"{""alpha"": 10.0}",0.0011779060708685528,0.001969514620073483,-0.001409315946275358
8,ridge,"{""alpha"": 0.001}",0.0013392496581875657,0.0023100441568679538,-0.0020230356638197833
8,ridge,"{""alpha"": 0.01}",0.0013392496580326549,0.0023100441565195983,-0.0020230353616086383
8,ridge,"{""alpha"": 0.1}",0.0013392496564835542,0.002310044153036075,-0.0020230323395273864
8,ridge,"{""alpha"": 1.0}",0.0013392496409930811,0.0023100441182037647,-0.0020230021212503946
8,ridge,"{""alpha"": 10.0}",0.0013392494866572328,0.002310043770172838,-0.0020227001919803644
9,ridge,"{""alpha"": 0.001}",0.0012251044487720719,0.0019367590273128182,-0.0015677678256769134
9,ridge,"{""alpha"": 0.01}",0.00122510444854812,0.0019367590270123766,-0.0015677675149388115
9,ridge,"{""alpha"": 0.1}",0.0012251044463086128,0.0019367590240079828,-0.0015677644075784425
9,ridge,"{""alpha"": 1.0}",0.001225104423914457,0.0019367589939661238,-0.0015677333361268087
9,ridge,"{""alpha"": 10.0}",0.001225104200064869,0.00193675869375533,-0.0015674228365532006
10,ridge,"{""alpha"": 0.001}",0.0011357608227177,0.0022033302676159007,-0.0005356281217263614
10,ridge,"{""alpha"": 0.01}",0.0011357608226905368,0.0022033302675823984,-0.0005356280912993672
10,ridge,"{""alpha"": 0.1}",0.001135760822418905,0.002203330267247375,-0.0005356277870303128
10,ridge,"{""alpha"": 1.0}",0.001135760819702396,0.002203330263897395,-0.0005356247445684748
10,ridge,"{""alpha"": 10.0}",0.0011357607925182635,0.002203330230422611,-0.0005355943426677001
11,ridge,"{""alpha"": 0.001}",0.001081483760994972,0.0018176478612422495,-0.0008089789805347802
11,ridge,"{""alpha"": 0.01}",0.0010814837609102858,0.0018176478611428707,-0.0008089788710972101
11,ridge,"{""alpha"": 0.1}",0.001081483760063433,0.0018176478601490901,-0.0008089777767330553
11,ridge,"{""alpha"": 1.0}",0.0010814837515954415,0.0018176478502121706,-0.0008089668340651723
11,ridge,"{""alpha"": 10.0}",0.0010814836669692889,0.0018176477509314853,-0.0008088575048601498
