year,month,rows,open,high,low,close,volume,vwap,trade_count,open_pct,high_pct,low_pct,close_pct,volume_pct,vwap_pct,trade_count_pct
2024,1,695752,0,0,0,0,0,295621,295621,0.0,0.0,0.0,0.0,0.0,0.42489421518012166,0.42489421518012166
2024,2,576236,0,0,0,0,0,285462,285462,0.0,0.0,0.0,0.0,0.0,0.49539077738981946,0.49539077738981946
2024,3,616630,0,0,0,0,0,248318,248318,0.0,0.0,0.0,0.0,0.0,0.40270178226813486,0.40270178226813486
2024,4,643676,0,0,0,0,0,304075,304075,0.0,0.0,0.0,0.0,0.0,0.4724038180699607,0.4724038180699607
2024,5,694080,0,0,0,0,0,289494,289494,0.0,0.0,0.0,0.0,0.0,0.4170902489626556,0.4170902489626556
2024,6,539299,0,0,0,0,0,231848,231848,0.0,0.0,0.0,0.0,0.0,0.42990623012466184,0.42990623012466184
2024,7,697919,0,0,0,0,0,295143,295143,0.0,0.0,0.0,0.0,0.0,0.4228900488452098,0.4228900488452098
2024,8,614333,0,0,0,0,0,288308,288308,0.0,0.0,0.0,0.0,0.0,0.4693024792742698,0.4693024792742698
2024,9,643004,0,0,0,0,0,255035,255035,0.0,0.0,0.0,0.0,0.0,0.39663050307618614,0.39663050307618614
2024,10,638973,0,0,0,0,0,317982,317982,0.0,0.0,0.0,0.0,0.0,0.4976454404176702,0.4976454404176702
2024,11,666686,0,0,0,0,0,282981,282981,0.0,0.0,0.0,0.0,0.0,0.42445919068347016,0.42445919068347016
2024,12,502866,0,0,0,0,0,220681,220681,0.0,0.0,0.0,0.0,0.0,0.4388465316804079,0.4388465316804079
